timestamp,PSARl_0.03_0.2,PSARs_0.03_0.2,PSARaf_0.03_0.2,PSARr_0.03_0.2
2023-12-31 18:40:00,42531.02892340082,,0.09,0
2023-12-31 18:45:00,42548.01832029475,,0.09,0
2023-12-31 18:50:00,42563.47867146823,,0.09,0
2023-12-31 18:55:00,42577.547591036084,,0.09,0
2023-12-31 19:00:00,42590.35030784283,,0.09,0
2023-12-31 19:05:00,42602.00078013698,,0.09,0
2023-12-31 19:10:00,42612.60270992465,,0.09,0
2023-12-31 19:15:00,,42719.8,0.03,1
2023-12-31 19:20:00,,42715.984000000004,0.06,0
2023-12-31 19:25:00,,42708.23956,0.06,0
2023-12-31 19:30:00,,42700.9597864,0.06,0
2023-12-31 19:35:00,,42694.116799216004,0.06,0
2023-12-31 19:40:00,,42687.68439126304,0.06,0
2023-12-31 19:45:00,42586.91,,0.03,1
2023-12-31 19:50:00,42590.1659,,0.03,0
2023-12-31 19:55:00,42593.324123,,0.03,0
2023-12-31 20:00:00,42596.38759931,,0.03,0
2023-12-31 20:05:00,,42695.44,0.03,1
2023-12-31 20:10:00,,42691.4098,0.03,0
2023-12-31 20:15:00,,42687.500506000004,0.03,0
2023-12-31 20:20:00,,42683.708490820005,0.03,0
2023-12-31 20:25:00,42561.1,,0.03,1
2023-12-31 20:30:00,,42680.36,0.03,1
2023-12-31 20:35:00,,42680.36,0.03,0
2023-12-31 20:40:00,,42676.1327,0.03,0
2023-12-31 20:45:00,,42672.032219,0.06,0
2023-12-31 20:50:00,,42661.98388586,0.06,0
2023-12-31 20:55:00,,42652.538452708395,0.06,0
2023-12-31 21:00:00,,42643.65974554589,0.06,0
2023-12-31 21:05:00,,42635.31376081314,0.06,0
2023-12-31 21:10:00,,42627.46853516435,0.06,0
2023-12-31 21:15:00,42504.56,,0.03,1
2023-12-31 21:20:00,42509.5364,,0.03,0
2023-12-31 21:25:00,42514.363507999995,,0.03,0
2023-12-31 21:30:00,42519.045802759996,,0.03,0
2023-12-31 21:35:00,42523.587628677196,,0.03,0
2023-12-31 21:40:00,42527.99319981688,,0.03,0
2023-12-31 21:45:00,42532.266603822376,,0.03,0
2023-12-31 21:50:00,,42670.44,0.03,1
2023-12-31 21:55:00,,42666.2583,0.06,0
2023-12-31 22:00:00,,42657.526002,0.09,0
2023-12-31 22:05:00,,42641.71786182,0.09,0
2023-12-31 22:10:00,,42627.3324542562,0.09,0
2023-12-31 22:15:00,,42614.241733373136,0.12,0
2023-12-31 22:20:00,,42591.75232536836,0.12,0
2023-12-31 22:25:00,42426.83,,0.03,1
2023-12-31 22:30:00,42431.2301,,0.06,0
2023-12-31 22:35:00,42440.822294,,0.06,0
